avouer;5;2;14;2;3
étendre;2;10;4;7;4
valoir;1;3;6;11;2
usage;8;4;4;2;0
spectacle;2;4;0;14;4
reconnaître;4;9;3;8;4
mouton;1;2;22;0;0
juger;4;11;2;6;1
joie;3;0;6;2;19
embrasser;2;5;10;0;10
digne;10;3;2;4;9
conserver;4;14;0;2;10
écrivain;2;14;0;1;5
triste;4;3;3;6;10
société;2;2;0;3;5
secret;2;14;0;3;9
pleurer;0;1;8;1;8
oreille;1;0;5;7;14
intérêt;10;14;1;0;1
inde;1;0;1;1;0
connaissance;1;14;4;5;2
bulgare;2;0;2;0;0
éternel;6;2;0;4;15
écouter;4;7;7;2;7
univers;2;6;2;3;14
philosophe;5;3;12;2;2
part;0;11;4;5;2
noir;3;0;5;4;4
noble;1;8;6;4;8
naturel;5;5;3;0;3
jouir;6;3;1;4;5
gros;0;5;11;3;2
gouvernement;4;13;1;2;2
europe;3;7;2;2;0
esclave;6;0;6;3;10
empire;15;1;1;2;1
descendre;3;1;1;2;14
dangereux;5;4;1;7;3
crier;5;0;5;1;10
composer;0;7;0;5;2
bas;1;0;5;14;1
abbé;1;1;23;1;0
étonner;2;1;13;6;4
voler;2;2;14;3;3
venise;0;0;24;0;0
tirer;0;3;5;2;5
soutenir;6;3;4;7;4
plutôt;4;13;1;1;9
nommer;7;2;6;0;5
grandeur;7;0;1;3;15
faible;2;6;0;1;14
coupable;9;0;0;2;5
cacher;9;1;3;1;10
bruit;6;0;8;2;5
barbare;14;0;0;1;4
abandonner;0;0;1;3;9
voisin;4;1;5;1;9
trait;3;9;1;4;7
suivant;1;2;3;4;2
souper;0;0;21;0;1
soeur;2;1;3;0;1
seulement;3;8;6;1;4
saisir;5;2;4;2;12
rouge;0;4;6;3;4
produire;2;7;2;8;4
manquer;3;12;6;0;1
indien;0;3;0;0;2
horrible;5;2;3;1;9
douleur;2;0;5;0;15
diamant;1;0;25;0;0
craindre;9;0;4;1;7
conduire;3;6;8;3;2
brillant;2;1;5;6;9
avancer;1;3;4;9;5
asseoir;1;0;0;13;7
adorer;0;1;2;1;17
académie;1;13;2;7;0
sorte;1;10;0;8;2
silence;3;2;1;7;10
sein;4;2;0;1;16
sacré;13;2;0;1;8
rire;2;4;4;11;2
prier;1;3;8;4;2
possible;0;8;5;3;2
moeurs;2;11;0;0;2
lit;2;0;3;4;1
libre;15;0;1;1;6
instant;0;0;4;3;15
fin;1;1;6;0;9
ensemble;5;5;3;2;4
commettre;2;1;3;7;0
bout;2;2;12;4;1
vivant;0;9;2;1;3
vieillard;1;0;10;4;2
titre;3;6;1;8;2
saint;0;3;9;2;10
royal;2;3;2;4;3
province;5;7;4;2;1
physique;2;12;3;1;4
juge;6;5;2;0;2
jardin;1;2;7;3;3
horreur;3;1;3;1;14
dévorer;6;3;1;1;11
blanc;0;0;0;4;11
universel;7;9;0;2;4
tantôt;0;1;1;0;2
sublime;0;8;0;2;12
majesté;0;1;13;4;5
famille;5;4;1;2;8
extrême;8;1;6;5;0
continuer;0;3;9;1;7
boire;1;0;7;1;1
assemblée;0;3;0;11;4
appartenir;1;3;4;5;1
animal;2;5;1;5;5
affreux;3;1;2;1;7
égal;2;4;1;3;7
vertueux;4;1;1;0;11
vendre;0;1;15;1;0
tromper;0;3;2;4;5
temple;0;0;0;10;8
sensible;3;5;0;0;12
seigneur;0;2;3;2;1
répandre;1;6;2;3;7
remarquer;1;10;0;9;3
religion;2;6;4;0;8
poète;3;7;1;3;1
pendre;0;1;6;1;1
morale;2;10;2;4;1
genre;4;5;0;1;4
fruit;3;1;2;2;5
français;0;4;9;2;0
forme;2;11;0;3;0
environner;2;2;0;5;12
entier;4;0;1;3;6
discours;1;1;11;2;3
degré;0;6;0;0;11
dame;0;0;18;0;3
bois;0;1;2;1;2
aussitôt;0;1;12;1;1
assurer;0;7;6;3;0
éloigner;1;5;1;9;5
toucher;6;3;4;4;1
source;2;9;1;1;2
ridicule;2;8;0;3;2
riche;2;0;4;8;2
respect;2;0;0;5;9
quartier;0;4;0;7;2
précieux;5;6;1;1;3
oublier;4;3;4;5;2
occuper;0;1;3;9;6
matière;5;10;1;3;0
luxe;6;5;0;2;1
juif;1;1;2;1;1
inquisiteur;0;2;7;0;0
immense;0;3;2;11;5
image;4;5;0;3;9
honnête;5;4;8;1;1
guide;1;3;0;9;7
froid;0;2;0;1;14
défendre;0;4;0;1;1
couleur;1;3;1;6;3
changer;1;11;1;4;1
capitaine;0;0;8;0;1
apporter;4;4;5;0;0
affaire;5;5;9;0;0
étonnant;4;7;0;3;4
épouser;2;1;1;0;4
travailler;4;3;5;0;4
tragédie;1;8;3;1;2
théâtre;0;8;2;10;0
terrible;7;1;0;1;8
suite;6;0;3;7;0
