"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"pourvoir";-1,42;-1,71;1,681;6,974;-2,059
"portugal";-1,013;-1,221;17,316;-1,135;-1,47
"pont";-1,623;-1,955;-2,322;25,403;-0,474
"poliment";-1,42;-0,125;1,681;2,774;-2,059
"peintre";0,188;0,04;-2,613;4,049;-0,69
"pasteur";-1,827;-0,412;-2,613;-2,046;22,577
"parvenir";-1,216;8,461;-1,74;-0,013;-0,124
"origine";-0,032;0,359;-2,031;-0,081;1,629
"ordinaire";-1,216;0,721;-0,115;3,972;-1,764
"orage";0,585;-0,732;-0,869;-0,68;3,314
"opprobre";0,192;2,352;-1,159;-0,907;0,012
"néant";-1,216;0,721;-1,74;-1,362;6,635
"nez";-1,42;0,359;4,857;-1,59;-0,282
"mesure";-1,623;15,642;0,03;-1,818;-2,354
"maîtresse";-1,013;-1,221;17,316;-1,135;-1,47
"maudit";1,172;0,721;-0,115;-1,362;-0,124
"matin";-1,623;-0,256;1,046;-0,19;1,005
"lisbonne";-1,42;-1,71;24,261;-1,59;-2,059
"laid";0;-1,465;12,813;-1,362;-1,764
"intéressant";-1,827;0,04;-2,613;21,104;-2,65
"insolent";-1,42;0,359;-2,031;13,078;-2,059
"insensible";2,453;-1,955;-2,322;-1,818;7,256
"innocence";0,384;0,149;-0,456;-1,818;1,005
"ingénieux";9,693;-0,976;-1,159;-0,907;0,012
"impossible";-0,81;0,074;-1,159;2,646;0,012
"immortel";-1,013;-1,221;-1,45;-1,135;17,079
"imiter";-1,216;-1,465;-1,74;-1,362;20,502
"ignorant";-1,623;-1,955;0,03;-0,19;7,256
"hâter";-1,42;-1,71;-2,031;-0,081;15,904
"harmonie";-1,827;3,542;-2,613;0,085;0,584
"grave";-1,827;7,417;-0,666;1,326;-2,65
"giroflée";-1,827;-2,201;31,218;-2,046;-2,65
"fontaine";-1,216;-1,465;-0,115;-0,013;6,635
"exécution";0;3,531;-1,74;0,883;-1,764
"extravagant";-1,42;19,484;-2,031;-0,081;-2,059
"exister";-1,623;15,642;-2,322;-0,19;-0,474
"excellence";0,693;0,359;1,681;-1,59;-2,059
"etc";-1,216;-1,465;-0,115;9,281;-0,124
"estomac";0,036;0,001;-0,017;0,008;-0,021
"espace";-0,81;-0,976;-1,159;2,646;1,705
"ennuyer";-0,81;-0,976;-1,159;17,689;-1,175
"enfoncer";-1,623;-1,955;7,4;-1,818;1,005
"enfer";-0,032;-0,125;-0,268;-0,081;1,629
"endormir";-0,81;-0,976;-1,159;-0,907;13,657
"enchaîner";-1,216;0,721;2,625;-0,013;-1,764
"empreinte";-1,827;-0,412;-2,613;-0,325;15,635
"désirer";-1,42;-1,71;-2,031;6,974;1,629
"déguiser";0,693;2,412;-2,031;-0,081;-0,282
"dégoûter";-0,81;-0,976;1,748;0,114;0,012
"défigurer";-1,42;0,359;-0,268;-0,081;1,629
"divinité";-1,42;-0,125;-2,031;-1,59;15,904
"céder";0,693;0,359;-2,031;-0,081;0,139
"corrompre";9,686;3,542;-2,613;-2,046;-2,65
"conséquent";-1,013;1,325;-0,017;1,543;-1,47
"commander";1,172;3,531;-1,74;-1,362;-0,124
"combat";3,401;-1,71;-0,268;0,476;-0,282
"classe";1,172;-1,465;-1,74;3,972;-0,124
"chérir";0,188;-2,201;-2,613;-2,046;15,635
"chine";-1,216;3,531;-0,115;-1,362;0,389
"cheveu";0,693;-1,71;-0,268;-1,59;4,754
"chef_d_oeuvres";-1,013;0,001;-1,45;0,008;3,979
"chant";0;-1,465;-1,74;-1,362;12,616
"calme";0,693;-0,125;-2,031;-1,59;4,754
"caillou";0;-1,465;6,759;-1,362;-0,124
"bataille";0,693;-0,125;-2,031;6,974;-2,059
"avis";0;-1,465;6,759;-1,362;-0,124
"avance";-0,032;-1,71;-0,268;0,476;1,629
"autorité";39,688;-1,955;-2,322;-1,818;-2,354
"attaquer";-1,42;0,359;0,152;0,476;-0,282
"assurément";-1,42;-0,125;-0,268;13,078;-2,059
"artiste";-0,21;7,417;-2,613;0,085;-0,69
"amitié";-1,623;-0,256;-0,456;-1,818;12,527
"ambition";19,416;-1,955;-2,322;-1,818;0,025
