"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"siècle";-0,681666768902409;-1,11033611969531;-0,728191199408633;0,393376028869446;-0,441624919553431;-0,719342825420776;-0,471766256665497;0,254852759484581;0,283465252836758;0,48837071778836;0,183552996231192;0,0446110331436926;0,00127789316200063;0,00339046477269968;0,00145828078245569;0,000425565177887358;0,00275011149100639;0,768142983200771;0,00162268580182113
"devenir";0,0281016412841179;-0,336124115352955;-0,652757295157161;0,855441053121238;0,0249200834462364;-0,298069458584328;-0,578854669056268;0,758591365236935;0,00119334769827832;0,110863367976249;0,365360958288886;0,522582326036587;2,28916214297521e-06;0,00032750092284454;0,00123514132368476;0,00212125735240388;0,00289876616619593;0,488054190639708;0,000690477094324233
"loi";-0,969473778493131;0,24799322705005;-1,77739473818182;-1,44159120729163;-0,388140632808263;0,0992871083413753;-0,711601627328444;-0,577158594550856;0,250333319197693;0,0106368064987891;0,477451590951432;0,261578283352089;0,00244505568986927;0,000159991260829079;0,00821834561736838;0,00540630907632817;0,00260145681581686;1,16250973544975;0,00351568388401522
"chose";0,261718412387014;-1,22703642096135;0,0105066248467262;0,261444327664015;0,204207279338859;-0,957402144116936;0,0081978537750387;0,203993423175352;0,0635080626080086;0,906484354264549;5,80766827166438e-05;0,0299495064447278;0,000185827504790906;0,00408466410066491;2,99480046599476e-07;0,000185438492721171;0,00271294782220901;0,623074109339611;0,00105322425443149
"esprit";-0,593978972207038;-0,84951678266878;-1,13770278517369;1,283543487628;-0,296384689448074;-0,423893402954425;-0,567692969693846;0,640464824133745;0,151131259448264;0,200743356702091;0,314618925903134;0,333506457946513;0,000891599127428303;0,00182377567840205;0,00327103458683861;0,00416340508975001;0,00252712947822209;0,916671607789137;0,00212351363474867
"tête";-0,620515540029328;-0,343851389944327;0,657930643676288;-1,31342351722681;-0,380374741926364;-0,210780190460522;0,403310123034125;-0,80512589802594;0,252870813359571;0,0504219972792818;0,161312733628224;0,535394455732924;0,000915806833162809;0,000281216062712403;0,00102957688571618;0,00410306248991689;0,00237847480303256;0,740326286360154;0,00130360162991126
"premier";0,126834306162417;-0,529356586729131;0,13907700577484;0,351433129403867;0,191394217686773;-0,798804305079914;0,209868572028203;0,530316054911321;0,0601627424176507;0,680512156468417;0,0410468519461318;0,218278249167803;3,64688350825705e-05;0,000635250563056506;4,38489380724316e-05;0,000279984387951475;0,0022669837966404;0,310236423782707;0,000218189570281348
"rester";0,339303938048794;-0,420409065893985;0,393428136370755;-0,693091501351251;0,352404484697682;-0,436641086692304;0,408618421762518;-0,71985180834213;0,211342668400676;0,21068743070729;0,161233491410897;0,416736409481141;0,000273827054854574;0,000420380633710962;0,000368153883723896;0,00114256180584589;0,00237847480303256;0,442807703099552;0,000466368156799289
"public";-0,745455549737441;-0,814175646343054;-0,227493010289985;-0,703476311423435;-0,561077153179334;-0,612800258847091;-0,171225676201161;-0,529480914430887;0,444781474788911;0,344527978925876;0,0235046799496199;0,187185866335597;0,00150759589320305;0,00179836423242766;0,000140403377818803;0,00134258069026224;0,00271294782220901;0,6706072855891;0,00122005097362934
"porte";-0,218172983065982;-0,53885533559135;0,608211137785975;-0,593537116196268;-0,211891181537219;-0,523340205242345;0,590699062727628;-0,576447546665232;0,0777085710670643;0,30781973069759;0,342681581320844;0,271790116914504;0,000113214093747369;0,000690626009086409;0,000879847273677799;0,00083790410775105;0,00237847480303256;0,469554890903634;0,000524410395294243
